City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
110,Tūkrah,21,LY,1589961174,62,32.53,20.58,296.95,6.8
111,Simi,100,SL,1589961175,87,9.57,-12.35,299.25,0.08
112,Nelson Bay,61,AU,1589961176,77,-32.72,152.15,292.15,2.1
113,Saldanha,0,ZA,1589961177,81,-33.01,17.94,284.15,0.5
114,Van,8,TR,1589961178,51,38.49,43.38,290.15,4.1
115,Tasiilaq,23,GL,1589961158,92,65.61,-37.64,270.15,0.5
116,Chui,0,UY,1589961180,87,-33.7,-53.46,288.44,2.74
117,Warwick,1,US,1589961016,75,41.7,-71.42,281.48,3.1
118,Pevek,56,RU,1589961182,97,69.7,170.31,270.31,1.49
119,Atuona,3,PF,1589961170,74,-9.8,-139.03,300.47,5.07
120,Kytmanovo,20,RU,1589961189,42,53.46,85.45,300.42,6.0
121,Naze,75,JP,1589961191,61,28.37,129.48,298.15,5.1
122,Vila Franca do Campo,75,PT,1589961181,93,37.72,-25.43,289.15,3.6
123,Jamestown,1,US,1589961045,56,42.1,-79.24,285.93,5.1
124,Santa Maria,0,BR,1589961194,75,-29.68,-53.81,289.19,2.43
125,Haines Junction,100,CA,1589961097,72,60.75,-137.51,278.15,2.08
126,Hermanus,4,ZA,1589961111,76,-34.42,19.23,290.93,2.68
127,Codrington,100,AU,1589961022,91,-38.27,141.97,283.56,9.61
128,Les Cayes,100,HT,1589961199,85,18.2,-73.75,297.79,1.54
129,Riberalta,62,BO,1589961200,92,-10.98,-66.1,295.93,0.32
130,Erzin,52,TR,1589961201,27,36.96,36.2,308.15,1.5
131,Sørland,40,NO,1589961171,70,67.67,12.69,279.15,4.6
132,Jiayuguan City,100,CN,1589961203,14,39.82,98.3,299.4,3.02
133,Knysna,20,ZA,1589961204,100,-34.04,23.05,285.15,1.5
134,Eyrarbakki,90,IS,1589961205,60,63.86,-21.15,279.15,3.1
135,Sakakah,0,SA,1589961206,13,29.97,40.21,307.15,3.6
136,Tura,97,IN,1589961207,68,25.52,90.22,299.17,3.58
137,Osmanabad,10,IN,1589961209,14,18.17,76.05,311.8,5.42
138,Zhigansk,2,RU,1589961186,71,66.77,123.37,281.61,5.91
139,Kathu,75,TH,1589961212,100,7.92,98.33,299.15,2.6
140,Māngrol,0,IN,1589961213,57,21.12,70.12,305.65,6.3
141,Morón,75,AR,1589961214,84,-34.65,-58.62,292.04,2.39
142,Saint-Philippe,75,RE,1589961180,60,-21.36,55.77,297.15,11.8
143,Talnakh,62,RU,1589961032,63,69.49,88.4,289.15,4.0
